,Advocates involved,No. of cases
0,Mr. S. Das,4
1,Ms. N. Sahu,3
2,Mr. P. Neog,3
3,Mr. A. Kakati,3
4,Mr. B. K. Singh,3
5,Mr.R.Goswami,3
6,Mr. W. Sarma,3
7,Mr. S. Bhuyan,3
8,Mr. A. Kundu,2
9,Mr. C. Chakravarty,2
