,Advocates involved,No. of cases
0,M/s. M. Hari Babu,76
1,M/s. K. Venkateswarlu,40
2,Notice Served Appellants 1 to 3,19
3,Mr. M.S. Krishna,15
4,M/s. M. Sravan Kumar,15
5,Mr. V.S. Kumar Patnaik,12
6,M/s. Kowmudi,11
7,M/s. T. Veerabhadra Rao,11
8,Mr. Md. Rahim Khan,8
9,M/s. D. Ravi Kiran,7
