,Advocates involved,No. of cases
0,M/s. R.K. Pattnaik & Assoc.,86
1,M/s. P.K. Ray & Assoc.,37
2,Mr. A.K. Samal,36
3,Mr. S.C. Dash,34
4,M/s. G. Mishra & Assoc.,30
5,M/s. M. Dash & Assoc.,19
6,M/s. K.C. Satapathy & Assoc.,18
7,M/s. A.K. Sahoo & Assoc.,17
8,In Person,17
9,M/s. R.C. Sahoo & Associates,17
