,Shortest running cases,ymd,Duration
0,IA/38/2019,0 years 0 months 1 days,1
1,TA/61/2019,0 years 0 months 1 days,1
2,TA/156/2021,0 years 0 months 1 days,1
3,TA/60/2019,0 years 0 months 1 days,1
4,TA/155/2021,0 years 0 months 1 days,1
5,TA/154/2021,0 years 0 months 1 days,1
6,TA/153/2021,0 years 0 months 1 days,1
7,TA/152/2021,0 years 0 months 1 days,1
8,TA/151/2021,0 years 0 months 1 days,1
9,TA/150/2021,0 years 0 months 1 days,1
