,Advocates involved,No. of cases
0,"Mr. Barun Prasad, Mr. Subrata Mondal, Mr. Sovanlal Bera, Mr. P. K. Majumder",67
1,Mr. Prasanta Banerjee,45
2,In-person,32
3,Mr. Abhik Das. Mrs. Koyeli Mukhopadhyay,24
4,"Mr. Ashok Kumar Singh, Ms. Suchitra Chakraborty",24
5,Ms. Mousumi Chakraborty,23
6,Mr. Amarnath Sanyal,22
7,Mr. Utpal Roy Chowdhury,21
8,Ms. Tanusree Dhar,20
9,Mr. Abhijit Bhuina,18
