,Complainant Advocate,No. of cases
0,Ms. N. Sahu,3
1,Mr. P. Neog,3
2,Mr. A. Kakati,3
3,Mr. S. Das,3
4,Mr. A. Kundu,2
5,Mr. C. Chakravarty,2
6,Mr. U. J. Saikia,2
7,Mr. A. S. Dhillon,2
8,Mrs. R. D. Mazumdar,2
9,Mr. W. Sarma,2
