,Longest running cases,ymd,Duration
0,CC/474/2019,2 years 7 months 20 days,960
1,A/284/2019,2 years 6 months 25 days,935
2,CC/213/2019,2 years 6 months 14 days,924
3,CC/238/2019,2 years 4 months 29 days,879
4,CC/359/2019,2 years 3 months 18 days,838
5,CC/163/2019,2 years 2 months 27 days,817
6,EA/79/2019,2 years 2 months 11 days,801
7,CC/547/2019,2 years 1 months 29 days,789
8,CC/546/2019,2 years 1 months 29 days,789
9,CC/153/2019,2 years 1 months 22 days,782
