,Shortest running cases,ymd,Duration
0,MA/11/2019,0 years 0 months 0 days,0
1,MA/43/2019,0 years 0 months 1 days,1
2,MA/60/2019,0 years 0 months 4 days,4
3,CC/21/2019,0 years 0 months 7 days,7
4,MA/76/2019,0 years 0 months 11 days,11
5,A/5/2020,0 years 0 months 15 days,15
6,MA/73/2019,0 years 1 months 0 days,30
7,MA/19/2019,0 years 1 months 2 days,32
8,MA/58/2019,0 years 1 months 22 days,52
9,CC/17/2019,0 years 1 months 23 days,53
