,Shortest running cases,ymd,Duration
0,RP/2/2019,0 years 0 months 0 days,0
1,RP/28/2019,0 years 0 months 0 days,0
2,A/742/2020,0 years 0 months 0 days,0
3,RP/6/2020,0 years 0 months 1 days,1
4,RP/5/2020,0 years 0 months 1 days,1
5,RP/4/2020,0 years 0 months 1 days,1
6,RP/3/2020,0 years 0 months 1 days,1
7,RP/24/2020,0 years 0 months 1 days,1
8,RP/23/2020,0 years 0 months 1 days,1
9,RP/21/2020,0 years 0 months 1 days,1
