,Complainant Advocate,No. of cases
0,G. Nagvekar,2
1,Ulhas G. Shetye,1
2,Rishikesh Gawthankar,1
3,Anand V. Patwardhan,1
4,Byron Rodrigues,1
5,James Lopes,1
6,Linda Fernandes,1
7,Vibhav Amonkar,1
8,Mahesh D. Raul,1
9,Siddesh T. S. Kakodkar,1
