,Advocates involved,No. of cases
0,Sarvesh Kumar Sharma,56
1,Self,50
2,Isar Husain,46
3,V.S. Bisaria,36
4,Ashok Kumar Rai,30
5,Sanjay Kumar Verma,30
6,Naveen Kumar Tiwari,28
7,B.K. Updhyay,27
8,Sanjay Jaiswal,26
9,R K Mishra,25
