,Shortest running cases,ymd,Duration
0,RP/3/2019,0 years 0 months 1 days,1
1,MA/15/2021,0 years 0 months 1 days,1
2,MA/4/2019,0 years 0 months 1 days,1
3,MA/5/2019,0 years 0 months 1 days,1
4,MA/7/2019,0 years 0 months 1 days,1
5,MA/2/2019,0 years 0 months 2 days,2
6,RP/5/2019,0 years 0 months 2 days,2
7,MA/14/2021,0 years 0 months 3 days,3
8,MA/16/2021,0 years 0 months 4 days,4
9,MA/5/2020,0 years 0 months 5 days,5
