,Advocates involved,No. of cases
0,VINAY KUMAR DUBEY,57
1,NIKHIL SINGH,31
2,SEEMA GUPTA,9
3,MAHUA KALRA,6
4,ANKUR GOEL,5
5,V.K. SHARMA,4
6,KRISHNA KUMAR SHARMA,3
7,SUNDER SINGH,3
8,SELF,2
9,ABHINAV SHARMA,2
