,Longest running cases,ymd,Duration
0,A/109/2019,2 years 8 months 24 days,994
1,CC/3/2019,2 years 1 months 27 days,787
2,RP/40/2019,1 years 11 months 26 days,721
3,CC/14/2019,1 years 5 months 4 days,519
4,A/45/2020,1 years 4 months 21 days,506
5,CC/2/2020,1 years 1 months 29 days,424
6,MA/9/2019,0 years 11 months 5 days,335
7,A/65/2020,0 years 9 months 23 days,293
8,A/43/2021,0 years 9 months 1 days,271
9,RP/31/2019,0 years 7 months 12 days,222
