,Respondent Advocate,No. of cases
0,Ajay Kumar V.,2
1,Jyoti Das,1
2,J. Miranda,1
3,Jose H. Da Costa,1
4,T. Kerkar,1
5,V. Fernandes,1
6,Roesha Mascarenhas,1
7,Rajkumar N. Naik,1
8,Rui Gomes Pereira,1
9,Susmita S. Mandrekar,1
