,Complainant Advocate,No. of cases
0,Shri P.K.Paul,195
1,Shri R.K.Bhawnani,115
2,Shri N.K. Shrivastava,74
3,Shri Mukesh Sharma,55
4,Shri Sunil Patel,42
5,Shri Siddharth Tiwari,36
6,Shri Sanjay Tiwari,33
7,Present in Person,33
8,Shri Akash Gupta,28
9,Shri Rakesh Shukla,28
