,Complainant Advocate,No. of cases
0,Isar Husain,44
1,Sarvesh Kumar Sharma,40
2,V.S. Bisaria,35
3,Ashok Kumar Rai,27
4,Self,26
5,Sanjay Jaiswal,25
6,Naveen Kumar Tiwari,25
7,S.N. Tiwari,24
8,Mahendra Kumar Mishra,23
9,R K Mishra,22
