,Shortest running cases,ymd,Duration
0,CC/1/2019,0 years 0 months 2 days,2
1,A/604/2019,0 years 0 months 2 days,2
2,CC/211/2019,0 years 0 months 2 days,2
3,CC/210/2019,0 years 0 months 2 days,2
4,CC/209/2019,0 years 0 months 2 days,2
5,A/115/2019,0 years 0 months 2 days,2
6,A/114/2019,0 years 0 months 2 days,2
7,A/113/2019,0 years 0 months 2 days,2
8,A/112/2019,0 years 0 months 2 days,2
9,RA/4/2021,0 years 0 months 2 days,2
