,Shortest running cases,ymd,Duration
0,A/92/2021,0 years 0 months 1 days,1
1,A/93/2021,0 years 0 months 1 days,1
2,A/96/2021,0 years 0 months 1 days,1
3,A/99/2021,0 years 0 months 1 days,1
4,A/91/2021,0 years 0 months 1 days,1
5,A/90/2021,0 years 0 months 1 days,1
6,A/89/2021,0 years 0 months 1 days,1
7,A/88/2021,0 years 0 months 1 days,1
8,A/94/2021,0 years 0 months 1 days,1
9,A/87/2021,0 years 0 months 1 days,1
