,Respondent Advocate,No. of cases
0,Mr. Barun Prasad,21
1,Mr. Abhik Kr. Das,15
2,Inperson/,13
3,Ms. Tanusree Dhar,9
4,Mr. Prasanta Banerjee,9
5,Mr. Prabir Basu,8
6,Ms. Binota Roy,8
7,"Ms. Madhumita Saha, Mr. Rajesh Biswas",7
8,Mrs. Sanhita Shaoo,7
9,Mr. Avijit Chatterjee,5
