,Shortest running cases,ymd,Duration
0,CC/17/2019,0 years 0 months 1 days,1
1,RA/2/2020,0 years 0 months 2 days,2
2,RP/1/2021,0 years 0 months 4 days,4
3,A/179/2019,0 years 0 months 6 days,6
4,RP/19/2020,0 years 0 months 7 days,7
5,RP/4/2019,0 years 0 months 7 days,7
6,CC/35/2020,0 years 0 months 9 days,9
7,A/152/2019,0 years 0 months 10 days,10
8,A/346/2021,0 years 0 months 11 days,11
9,RA/2/2021,0 years 0 months 11 days,11
