,Longest running cases,ymd,Duration
0,EA/30/2019,2 years 11 months 1 days,1061
1,A/27/2019,2 years 10 months 15 days,1045
2,A/42/2019,2 years 10 months 3 days,1033
3,A/44/2019,2 years 10 months 1 days,1031
4,EA/55/2019,2 years 9 months 28 days,1028
5,EA/53/2019,2 years 9 months 28 days,1028
6,A/51/2019,2 years 9 months 15 days,1015
7,A/106/2019,2 years 9 months 14 days,1014
8,EA/16/2019,2 years 8 months 18 days,988
9,EA/95/2019,2 years 8 months 16 days,986
