,Longest running cases,ymd,Duration
0,A/19/53,2 years 10 months 19 days,1049
1,A/19/192,2 years 10 months 11 days,1041
2,A/19/237,2 years 9 months 28 days,1028
3,A/19/271,2 years 9 months 23 days,1023
4,A/19/542,2 years 8 months 28 days,998
5,A/19/304,2 years 8 months 23 days,993
6,A/19/971,2 years 7 months 8 days,948
7,A/19/38,2 years 6 months 23 days,933
8,A/19/776,2 years 6 months 21 days,931
9,A/19/761,2 years 6 months 18 days,928
