,Longest running cases,ymd,Duration
0,CC/9/2019,3 years 0 months 14 days,1109
1,CC/18/2019,2 years 11 months 3 days,1063
2,A/69/2019,2 years 10 months 3 days,1033
3,A/70/2019,2 years 10 months 3 days,1033
4,A/71/2019,2 years 10 months 3 days,1033
5,A/72/2019,2 years 10 months 3 days,1033
6,A/73/2019,2 years 10 months 3 days,1033
7,CC/58/2019,2 years 9 months 27 days,1027
8,A/79/2019,2 years 9 months 10 days,1010
9,A/134/2019,2 years 8 months 25 days,995
