,Advocates involved,No. of cases
0,Kunamalla Karunakar,82
1,M/s . Jitendra Jain,49
2,K.Krishna Murthy(PIP),29
3,M/s. K.N.V. Radha Krishna,24
4,M/s. Gopi Rajesh & Associates,22
5,M/s. Nisaruddin Ahmed Jeddy,15
6,M/s. V. Gouri Sankara Rao,13
7,M/s. K.HANUMANTH RAO,10
8,M/s. M. Srinivasa Rao & others,10
9,M/s. Deepak Chowdary,9
