,Complainant Advocate,No. of cases
0,Shri P.K.Paul,195
1,Present in Person,148
2,Shri R.K.Bhawnani,115
3,Shri N.K. Shrivastava,86
4,Mr. S. Das,84
5,Kunamalla Karunakar,82
6,Ajay Tantia,68
7,M/s. R.K. Pattnaik & Assoc.,67
8,M/s. M. Hari Babu,65
9,Munish Goel,63
