,Longest running cases,ymd,Duration
0,A/19/181,2 years 9 months 21 days,1021
1,CC/19/118,2 years 9 months 15 days,1015
2,MA/19/90,2 years 8 months 14 days,984
3,A/19/161,2 years 8 months 14 days,984
4,CC/19/128,2 years 8 months 13 days,983
5,A/19/455,2 years 7 months 20 days,960
6,CC/19/140,2 years 7 months 17 days,957
7,MA/19/156,2 years 7 months 8 days,948
8,A/19/311,2 years 7 months 8 days,948
9,CC/19/84,2 years 7 months 6 days,946
