,Advocates involved,No. of cases
0,NARAYAN R,16
1,N G MAHESH,12
2,PARTY IN PERSON,10
3,G S KALKURA,6
4,SUJA MADHAV,6
5,M UNNIIKRISHNAN,5
6,AYSHA ABRAHAM,4
7,S REGHUKUMAR,4
8,RAJMOHAN C S,2
9,ISSAC SAMUEL,2
