,Complainant Advocate,No. of cases
0,Mrs. Anjali Gussain,12
1,Mr. Yogesh Sethi,6
2,Mr. M.K. Kohli,3
3,Mr. V.K. Gupta,2
4,Mr. S.M. Joshi,2
5,Mr. Vaibhav Jain,2
6,Mt. Ramesh Kumar,1
7,Mr. Eshwarya Bangwal,1
8,Mr. Sandeep Gupta,1
9,Mr. Nitin Kumar,1
