,Advocates involved,No. of cases
0,Munish Goel,63
1,Sanjeev Goyal,60
2,Palak Dev,58
3,H.P.S. Ghuman,52
4,Sandeep Bhardwaj,51
5,Ashish Grover,50
6,Sukhandeep Singh,49
7,In Person,41
8,S.C. Pathela,36
9,Vaibhav Narang,35
