,Longest running cases,ymd,Duration
0,EA/25/2019,2 years 10 months 5 days,1035
1,EA/20/2019,2 years 10 months 5 days,1035
2,EA/19/2019,2 years 10 months 5 days,1035
3,A/220/2019,2 years 10 months 3 days,1033
4,A/240/2019,2 years 10 months 0 days,1030
5,EA/8/2019,2 years 9 months 28 days,1028
6,A/339/2019,2 years 9 months 12 days,1012
7,A/281/2019,2 years 9 months 7 days,1007
8,A/340/2019,2 years 9 months 3 days,1003
9,RP/15/2019,2 years 9 months 0 days,1000
