,Advocates involved,No. of cases
0,Ajay Tantia,68
1,Pramod Kumar,53
2,D.M.Mathur,45
3,Gopal Shastri,42
4,Umesh Nagpal,36
5,Paras Jain,34
6,Kamal Chamaria,34
7,Vizzy Agarwal,32
8,Nilanshu Khanna,31
9,Indrajeet Chaudhary,25
