,Longest running cases,ymd,Duration
0,A/22/2019,1 years 9 months 15 days,650
1,A/38/2019,1 years 6 months 28 days,573
2,CC/22/2019,1 years 6 months 8 days,553
3,CC/20/2019,1 years 2 months 23 days,448
4,CC/26/2019,1 years 1 months 28 days,423
5,A/45/2019,1 years 0 months 1 days,366
6,A/11/2020,0 years 11 months 21 days,351
7,RP/1/2020,0 years 11 months 19 days,349
8,A/2/2020,0 years 11 months 16 days,346
9,A/71/2019,0 years 11 months 12 days,342
