,Shortest running cases,ymd,Duration
0,A/21/173,0 years 0 months 0 days,0
1,MA/20/1,0 years 0 months 6 days,6
2,CC/20/30,0 years 0 months 12 days,12
3,A/20/216,0 years 0 months 12 days,12
4,CC/19/64,0 years 0 months 14 days,14
5,A/19/372,0 years 0 months 14 days,14
6,A/19/976,0 years 0 months 14 days,14
7,A/21/155,0 years 0 months 14 days,14
8,A/20/273,0 years 0 months 15 days,15
9,A/20/164,0 years 0 months 15 days,15
