,Longest running cases,ymd,Duration
0,CC/19/4,2 years 11 months 3 days,1063
1,EA/19/3,2 years 9 months 9 days,1009
2,EA/19/4,2 years 9 months 9 days,1009
3,EA/19/2,2 years 9 months 9 days,1009
4,EA/19/1,2 years 9 months 9 days,1009
5,A/19/396,2 years 6 months 16 days,926
6,EA/19/5,2 years 6 months 15 days,925
7,CC/19/57,2 years 1 months 26 days,786
8,A/19/638,1 years 11 months 28 days,723
9,EA/19/15,1 years 11 months 2 days,697
