,Longest running cases,ymd,Duration
0,CC/16/2019,2 years 9 months 29 days,1029
1,A/82/2019,2 years 9 months 17 days,1017
2,A/247/2019,2 years 9 months 1 days,1001
3,MA/5/2019,2 years 8 months 28 days,998
4,A/205/2019,2 years 8 months 25 days,995
5,CC/50/2019,2 years 8 months 18 days,988
6,A/336/2019,2 years 8 months 10 days,980
7,CC/48/2019,2 years 7 months 29 days,969
8,A/293/2019,2 years 7 months 19 days,959
9,CC/91/2019,2 years 6 months 22 days,932
