,Shortest running cases,ymd,Duration
0,AEA/20/17,0 years 0 months 0 days,0
1,A/19/1325,0 years 0 months 0 days,0
2,RP/21/30,0 years 0 months 0 days,0
3,AEA/20/14,0 years 0 months 0 days,0
4,A/19/1335,0 years 0 months 0 days,0
5,A/20/730,0 years 0 months 0 days,0
6,RP/21/31,0 years 0 months 0 days,0
7,RP/19/129,0 years 0 months 0 days,0
8,RP/20/25,0 years 0 months 1 days,1
9,MA/20/4,0 years 0 months 2 days,2
