,Shortest running cases,ymd,Duration
0,RP/37/2019,0 years 0 months 1 days,1
1,RP/31/2020,0 years 0 months 1 days,1
2,RP/66/2021,0 years 0 months 1 days,1
3,RP/70/2021,0 years 0 months 1 days,1
4,RP/22/2020,0 years 0 months 1 days,1
5,RP/18/2019,0 years 0 months 1 days,1
6,RP/41/2020,0 years 0 months 2 days,2
7,RP/28/2020,0 years 0 months 2 days,2
8,RP/30/2020,0 years 0 months 2 days,2
9,RP/33/2020,0 years 0 months 2 days,2
