,Longest running cases,ymd,Duration
0,A/5/2019,2 years 11 months 7 days,1067
1,A/54/2019,2 years 8 months 24 days,994
2,A/76/2019,2 years 6 months 23 days,933
3,A/64/2019,2 years 6 months 11 days,921
4,A/52/2019,2 years 6 months 2 days,912
5,A/135/2019,2 years 6 months 1 days,911
6,A/110/2019,2 years 5 months 29 days,909
7,A/137/2019,2 years 5 months 14 days,894
8,A/136/2019,2 years 5 months 14 days,894
9,A/56/2019,2 years 4 months 22 days,872
