,Shortest running cases,ymd,Duration
0,A/65/2019,0 years 0 months 13 days,13
1,A/16/2019,0 years 1 months 6 days,36
2,CC/2/2019,0 years 1 months 8 days,38
3,A/28/2020,0 years 1 months 26 days,56
4,CC/4/2020,0 years 2 months 0 days,60
5,RP/4/2019,0 years 2 months 19 days,79
6,A/53/2019,0 years 2 months 24 days,84
7,A/54/2019,0 years 2 months 24 days,84
8,A/39/2019,0 years 2 months 29 days,89
9,RP/3/2019,0 years 3 months 2 days,92
