,Advocates involved,No. of cases
0,Linda Fernandes,2
1,G. Nagvekar,2
2,Rajkumar Naik,2
3,Ajay Kumar V.,2
4,Ulhas G. Shetye,1
5,Rishikesh Gawthankar,1
6,Anand V. Patwardhan,1
7,Byron Rodrigues,1
8,James Lopes,1
9,Vibhav Amonkar,1
