,Complainant Advocate,No. of cases
0,"Mr. Barun Prasad, Mr. Subrata Mondal, Mr. Sovanlal Bera, Mr. P. K. Majumder",45
1,Mr. Prasanta Banerjee,34
2,"Mr. Ashok Kumar Singh, Ms. Suchitra Chakraborty",21
3,In-person,19
4,Mr. Amarnath Sanyal,19
5,Ms. Mousumi Chakraborty,18
6,Mr. Utpal Roy Chowdhury,17
7,Mr. Abhijit Bhuina,14
8,Mr. Abhik Das. Mrs. Koyeli Mukhopadhyay,13
9,Mr. Deb Kr. Sen,12
