,Longest running cases,ymd,Duration
0,CC/65/2019,3 years 0 months 23 days,1118
1,A/82/2019,3 years 0 months 20 days,1115
2,A/83/2019,3 years 0 months 20 days,1115
3,CC/141/2019,2 years 11 months 8 days,1068
4,A/274/2019,2 years 11 months 0 days,1060
5,A/175/2019,2 years 10 months 26 days,1056
6,CC/51/2019,2 years 10 months 21 days,1051
7,A/59/2019,2 years 10 months 11 days,1041
8,A/313/2019,2 years 10 months 10 days,1040
9,A/4/2019,2 years 10 months 10 days,1040
