,Respondent Advocate,No. of cases
0,Self,24
1,Umesh Kumar Sharma,18
2,No Advocate (OP),16
3,Mujeeb Effendi,13
4,Sanjay Kumar Verma,9
5,Pratul Pratap Singh Adeel Ahmad,9
6,S.P.Pandey,8
7,Saket Srivastava,7
8,B.K. Upadhyay,7
9,Raghavendra Pratap Singh,5
