,Respondent Advocate,No. of cases
0,Mr. S. Bhuyan,3
1,Mr. R. Thadani,2
2,Ms. R. Rahman,2
3,Mr. N. B. Singha,2
4,Mr. R. Goswami,2
5,Mr. D. Das,1
6,Mr. D. Chutia,1
7,Mr. P. P. Dutta,1
8,Mr. A. K. Gupta,1
9,Mr. R. B. Gohain,1
