,Shortest running cases,ymd,Duration
0,RP/79/2019,0 years 0 months 0 days,0
1,CC/195/2020,0 years 0 months 2 days,2
2,A/414/2019,0 years 0 months 4 days,4
3,RA/6/2020,0 years 0 months 5 days,5
4,IA/505/2021,0 years 0 months 7 days,7
5,A/101/2020,0 years 0 months 7 days,7
6,A/57/2021,0 years 0 months 7 days,7
7,RA/10/2021,0 years 0 months 8 days,8
8,CC/439/2019,0 years 0 months 8 days,8
9,CC/434/2019,0 years 0 months 9 days,9
