,Advocates involved,No. of cases
0,Prashanth.T.Pandit,52
1,B.S.Ravi Kiran,45
2,B.C.Shivanne Gowda,43
3,N.J.Ramesh,40
4,Subramani.K.V.,19
5,Party Inperson,14
6,Shankar Gulli,11
7,Mohan Malge,11
8,Kumar.A.Patil,11
9,Malatesh.S.R.,10
