,Advocates involved,No. of cases
0,Shri P.K.Paul,207
1,Shri R.K.Bhawnani,139
2,Shri N.K. Shrivastava,80
3,Shri Mukesh Sharma,56
4,Present in Person,50
5,Shri Siddharth Tiwari,43
6,Shri Sunil Patel,42
7,Shri Sanjay Tiwari,38
8,Shri Rakesh Shukla,37
9,R-1 Shri L.D.Patel,37
