,Shortest running cases,ymd,Duration
0,A/452/2021,0 years 0 months 1 days,1
1,RP/23/2019,0 years 0 months 2 days,2
2,RP/22/2019,0 years 0 months 2 days,2
3,RP/24/2019,0 years 0 months 2 days,2
4,A/1045/2019,0 years 0 months 4 days,4
5,RP/45/2020,0 years 0 months 6 days,6
6,RP/46/2020,0 years 0 months 6 days,6
7,A/142/2020,0 years 0 months 6 days,6
8,RP/83/2020,0 years 0 months 7 days,7
9,RP/60/2020,0 years 0 months 7 days,7
