,Longest running cases,ymd,Duration
0,A/236/2019,2 years 11 months 12 days,1072
1,CC/123/2019,2 years 10 months 22 days,1052
2,A/791/2019,2 years 9 months 1 days,1001
3,A/16/2019,2 years 8 months 3 days,973
4,A/457/2019,2 years 6 months 28 days,938
5,A/298/2019,2 years 6 months 7 days,917
6,CC/82/2019,2 years 6 months 7 days,917
7,A/1046/2019,2 years 4 months 19 days,869
8,A/1047/2019,2 years 4 months 19 days,869
9,A/185/2019,2 years 4 months 14 days,864
