,Longest running cases,ymd,Duration
0,MA/10/2019,1 years 1 months 6 days,401
1,MA/9/2019,1 years 1 months 0 days,395
2,RP/1/2019,0 years 12 months 0 days,360
3,MA/13/2019,0 years 11 months 29 days,359
4,MA/18/2019,0 years 11 months 20 days,350
5,MA/23/2019,0 years 11 months 4 days,334
6,MA/21/2019,0 years 11 months 4 days,334
7,A/3/2019,0 years 10 months 29 days,329
8,MA/40/2019,0 years 9 months 13 days,283
9,MA/41/2019,0 years 9 months 13 days,283
