,Longest running cases,ymd,Duration
0,A/52/2019,2 years 8 months 4 days,974
1,RP/7/2019,2 years 7 months 13 days,953
2,CC/54/2019,2 years 4 months 27 days,877
3,CC/56/2019,2 years 4 months 27 days,877
4,CC/57/2019,2 years 4 months 27 days,877
5,A/163/2019,2 years 4 months 20 days,870
6,CC/97/2019,2 years 3 months 9 days,829
7,A/266/2019,2 years 0 months 28 days,758
8,A/68/2019,2 years 0 months 28 days,758
9,A/244/2019,2 years 0 months 12 days,742
